trip_id,customer_id,driver_id,pickup_datetime,dropoff_datetime,pickup_location,dropoff_location,distance_km,fare_amount,trip_status,created_datetime,updated_datetime
1,750,243,2025-12-24 11:46:15,2025-12-24 12:10:15,Millerstad,Nicholasburgh,13.58,46.87,Completed,2025-12-24 11:46:15,2026-02-03 11:46:15
2,992,144,2025-08-24 05:45:08,2025-08-24 06:21:08,East Anneland,Davisfort,26.32,48.65,Completed,2025-08-24 05:45:08,2025-10-23 05:45:08
3,604,209,2026-05-01 03:13:34,2026-05-01 03:57:34,Amandashire,Barrton,31.69,61.68,Completed,2026-05-01 03:13:34,2026-05-21 03:13:34
4,747,1,2026-01-09 23:17:06,2026-01-10 00:08:06,Shawfort,South Sheilafort,27.85,48.87,Cancelled,2026-01-09 23:17:06,2026-02-15 23:17:06
5,582,9,2026-04-20 09:04:42,2026-04-20 09:34:42,Jamesberg,Briantown,34.18,103.96,Completed,2026-04-20 09:04:42,2026-05-11 09:04:42
6,580,27,2026-06-01 10:22:08,2026-06-01 11:18:08,Lindsaystad,East Devin,38.73,75.21,Cancelled,2026-06-01 10:22:08,2026-06-11 10:22:08
7,328,43,2026-06-09 16:25:11,2026-06-09 16:51:11,South Leah,Markborough,30.07,59.42,Completed,2026-06-09 16:25:11,2026-06-15 16:25:11
8,908,86,2026-05-21 15:24:08,2026-05-21 16:21:08,Scottfurt,North Michaelborough,28.65,79.6,Completed,2026-05-21 15:24:08,2026-06-07 15:24:08
9,263,202,2026-02-06 06:41:42,2026-02-06 06:59:42,South Joshua,Timothytown,10.73,17.55,Completed,2026-02-06 06:41:42,2026-02-07 06:41:42
10,993,43,2025-09-08 09:47:10,2025-09-08 09:55:10,Adamfurt,West David,16.05,47.59,Completed,2025-09-08 09:47:10,2025-10-10 09:47:10
11,849,123,2025-12-08 17:57:33,2025-12-08 18:26:33,South Arthurberg,East Conniefurt,14.7,33.09,Completed,2025-12-08 17:57:33,2026-01-14 17:57:33
12,463,19,2025-10-14 10:44:06,2025-10-14 11:30:06,New Jonathanbury,Port Brandonland,30.57,59.65,Completed,2025-10-14 10:44:06,2025-10-17 10:44:06
13,108,19,2025-12-20 16:15:58,2025-12-20 16:38:58,Jenniferburgh,East Danahaven,1.78,3.6,Completed,2025-12-20 16:15:58,2026-02-15 16:15:58
14,965,230,2026-01-19 06:53:21,2026-01-19 07:22:21,Port Rachel,Valeriefort,7.28,12.01,Cancelled,2026-01-19 06:53:21,2026-02-10 06:53:21
