trip_id,customer_id,driver_id,pickup_datetime,dropoff_datetime,pickup_location,dropoff_location,distance_km,fare_amount,trip_status,created_datetime,updated_datetime
8794,552,27,2026-05-27 11:26:56,2026-05-27 12:06:56,Johnsontown,Mayston,34.95,86.88,Cancelled,2026-05-27 11:26:56,2026-07-22 09:21:57.151792
1123,285,238,2026-01-10 05:28:01,2026-01-10 05:35:01,Francismouth,Kathrynmouth,25.94,92.17,Completed,2026-01-10 05:28:01,2026-07-22 09:21:57.151792
1284,753,220,2025-09-21 09:51:11,2025-09-21 10:49:11,South Johnstad,North Joshua,35.04,103.72,Completed,2025-09-21 09:51:11,2026-07-22 09:21:57.151792
9319,983,98,2026-04-12 03:50:31,2026-04-12 04:15:31,Port Krista,East Anthonytown,26.72,86.9,Cancelled,2026-04-12 03:50:31,2026-07-22 09:21:57.151792
7766,538,241,2026-03-03 21:56:45,2026-03-03 22:37:45,South Ronniemouth,Whitemouth,11.9,23.19,Completed,2026-03-03 21:56:45,2026-07-22 09:21:57.151792
3012,2,240,2025-12-27 06:42:31,2025-12-27 07:20:31,Taylormouth,Bondfort,36.07,98.46,Completed,2025-12-27 06:42:31,2026-07-22 09:21:57.151792
7126,417,249,2026-05-01 10:30:44,2026-05-01 10:42:44,West Jonathanstad,Williamport,13.95,35.12,Completed,2026-05-01 10:30:44,2026-07-22 09:21:57.151792
8824,152,128,2026-02-09 04:50:48,2026-02-09 05:10:48,West Heatherside,West Michellefort,10.24,16.86,Completed,2026-02-09 04:50:48,2026-07-22 09:21:57.151792
3122,847,137,2025-11-28 03:31:04,2025-11-28 04:12:04,North Edward,South Cathyside,3.3,8.88,Completed,2025-11-28 03:31:04,2026-07-22 09:21:57.151792
9315,505,83,2026-04-15 09:27:14,2026-04-15 10:07:14,Lake Valerie,North Tomville,32.55,52.79,Completed,2026-04-15 09:27:14,2026-07-22 09:21:57.151792
