vehicle_id,driver_id,vehicle_model,vehicle_year,license_plate,created_datetime,updated_datetime
1,1,Honda Accord,2025,eMm-4717,2023-05-05 21:06:01,2023-10-24 21:06:01
2,2,Kia Forte,2021,SKw-8747,2025-05-18 02:11:26,2026-03-02 02:11:26
3,3,Tesla Model 3,2024,wDF-3370,2023-01-02 06:45:20,2025-04-19 06:45:20
4,4,Honda Accord,2019,jMd-3745,2023-06-19 23:45:49,2024-10-20 23:45:49
5,5,Tesla Model Y,2024,rWK-7810,2024-01-10 05:25:02,2025-08-09 05:25:02
6,6,Honda Accord,2018,eaD-6576,2023-09-24 11:47:07,2026-01-10 11:47:07
7,7,Toyota Corolla,2019,TUg-2506,2025-01-30 05:55:25,2025-06-20 05:55:25
8,8,Hyundai Elantra,2023,Dsx-4430,2021-08-30 10:23:07,2022-03-18 10:23:07
9,9,Toyota Prius,2024,cdA-5865,2024-01-05 13:18:46,2026-03-15 13:18:46
10,10,Toyota Corolla,2024,tTE-5988,2024-04-04 15:46:54,2024-08-20 15:46:54
11,11,Toyota Prius,2019,hTc-4029,2024-02-09 01:11:13,2024-11-29 01:11:13
12,12,Hyundai Elantra,2021,YZS-0551,2024-11-02 22:15:14,2026-03-03 22:15:14
13,13,Toyota Corolla,2024,LUO-8956,2023-03-15 13:46:43,2024-07-31 13:46:43
14,14,Tesla Model 3,2023,BHP-4331,2024-12-29 13:28:59,2025-02-22 13:28:59
15,15,Tesla Model Y,2019,aVn-8214,2023-04-11 20:14:27,2024-03-08 20:14:27
16,16,Honda Accord,2019,kMk-3017,2022-11-25 19:10:33,2023-04-22 19:10:33
17,17,Tesla Model 3,2023,fDp-9554,2023-04-20 12:10:42,2024-04-03 12:10:42
18,18,Toyota Corolla,2025,fbz-9537,2025-05-26 01:41:31,2027-09-06 01:41:31
19,19,Hyundai Elantra,2025,gWG-1023,2024-12-03 15:13:01,2025-12-24 15:13:01
20,20,Tesla Model Y,2019,Dod-1153,2024-05-09 18:47:08,2025-08-30 18:47:08
21,21,Tesla Model Y,2023,IFO-3029,2024-09-15 12:17:46,2024-12-22 12:17:46
22,22,Kia Forte,2018,oSv-0667,2022-11-23 11:05:00,2025-03-31 11:05:00
23,23,Honda Civic,2018,bUN-1790,2024-10-29 05:36:51,2027-04-16 05:36:51
24,24,Toyota Corolla,2019,kiW-7055,2024-08-05 15:11:39,2026-07-29 15:11:39
25,25,Tesla Model 3,2021,HHh-3977,2021-11-19 18:11:54,2023-05-31 18:11:54
26,26,Tesla Model 3,2020,YDj-5521,2024-11-25 11:49:59,2025-11-28 11:49:59
27,27,Honda Accord,2025,KAx-4692,2023-07-31 01:55:11,2024-04-23 01:55:11
28,28,Honda Accord,2020,eKX-9191,2022-06-08 07:19:39,2023-01-14 07:19:39
29,29,Honda Accord,2024,nam-2428,2021-10-29 19:53:35,2021-12-27 19:53:35
30,30,Hyundai Elantra,2025,UgG-9681,2024-08-11 04:04:28,2026-05-09 04:04:28
31,31,Honda Accord,2024,MXS-4860,2024-11-12 00:36:48,2024-12-16 00:36:48
32,32,Hyundai Elantra,2021,EtE-3922,2022-01-06 03:32:01,2022-11-17 03:32:01
33,33,Honda Civic,2019,xjS-0760,2022-07-30 21:45:51,2024-11-24 21:45:51
34,34,Tesla Model 3,2023,ZDD-7129,2025-04-27 21:21:48,2026-04-25 21:21:48
35,35,Hyundai Elantra,2025,OjQ-5454,2025-04-16 09:49:57,2025-09-09 09:49:57
36,36,Kia Forte,2025,ofi-2960,2024-06-02 09:19:57,2025-12-24 09:19:57
37,37,Toyota Corolla,2024,JQL-7984,2022-06-11 02:50:14,2024-03-27 02:50:14
38,38,Honda Accord,2019,ygj-5417,2023-12-18 20:01:21,2025-01-07 20:01:21
39,39,Toyota Corolla,2025,vgt-9065,2024-10-17 01:44:47,2026-08-10 01:44:47
40,40,Tesla Model 3,2022,Cfs-0624,2022-01-01 00:18:53,2023-10-22 00:18:53
41,41,Honda Civic,2020,NRb-7368,2021-10-16 16:53:37,2022-10-01 16:53:37
42,42,Honda Civic,2021,ksM-0731,2025-04-01 06:51:46,2026-03-09 06:51:46
43,43,Honda Civic,2020,klH-8879,2024-11-13 10:15:25,2025-12-30 10:15:25
44,44,Tesla Model 3,2024,Vpy-8276,2025-02-13 20:39:09,2026-05-17 20:39:09
45,45,Tesla Model 3,2024,Ovu-5865,2023-03-16 21:38:47,2024-06-21 21:38:47
46,46,Tesla Model 3,2025,bfL-3063,2024-06-04 10:52:06,2026-04-15 10:52:06
47,47,Tesla Model 3,2020,jSM-3860,2022-06-17 10:37:18,2023-11-30 10:37:18
48,48,Kia Forte,2020,asA-7521,2022-02-15 17:13:38,2022-09-24 17:13:38
49,49,Toyota Corolla,2025,EzQ-8318,2021-09-02 00:28:53,2023-06-28 00:28:53
50,50,Toyota Prius,2023,Meq-8333,2021-08-29 14:58:19,2021-10-07 14:58:19
51,51,Tesla Model Y,2020,ygF-0045,2025-03-16 16:24:32,2025-10-31 16:24:32
52,52,Honda Accord,2025,DCq-4040,2024-07-23 08:46:23,2025-10-14 08:46:23
53,53,Tesla Model Y,2024,GfP-9968,2023-07-16 22:47:55,2025-08-11 22:47:55
54,54,Tesla Model Y,2025,Oon-7919,2024-07-31 09:50:45,2025-02-17 09:50:45
55,55,Honda Civic,2018,iSD-7305,2021-08-14 14:10:45,2023-12-06 14:10:45
56,56,Hyundai Elantra,2022,RYm-0951,2024-03-27 19:51:55,2024-05-29 19:51:55
57,57,Kia Forte,2021,buD-7476,2022-08-23 09:27:55,2024-03-25 09:27:55
58,58,Kia Forte,2020,tPn-6833,2024-06-20 05:27:28,2026-09-27 05:27:28
59,59,Tesla Model Y,2025,nWL-2090,2023-01-07 13:43:41,2024-08-21 13:43:41
60,60,Honda Civic,2019,vrG-8357,2022-12-04 17:22:50,2023-10-04 17:22:50
61,61,Toyota Corolla,2018,yKz-6367,2022-05-28 14:02:33,2024-08-13 14:02:33
62,62,Tesla Model Y,2021,CjA-5604,2024-03-29 23:22:45,2025-07-07 23:22:45
63,63,Honda Civic,2021,Iog-4676,2025-07-14 16:48:56,2026-06-13 16:48:56
64,64,Toyota Prius,2025,CrR-7905,2022-08-08 09:16:38,2023-06-03 09:16:38
65,65,Toyota Corolla,2019,MSI-3020,2025-04-27 16:43:34,2026-08-19 16:43:34
66,66,Honda Civic,2021,qVe-4086,2021-11-09 23:52:37,2022-07-11 23:52:37
67,67,Toyota Corolla,2024,vhq-0723,2024-02-19 19:12:32,2024-09-05 19:12:32
68,68,Tesla Model 3,2021,ukd-5151,2022-05-22 07:00:23,2024-10-01 07:00:23
69,69,Hyundai Elantra,2018,CxB-3626,2022-01-24 09:02:24,2023-09-29 09:02:24
70,70,Toyota Corolla,2022,UpM-3708,2022-12-16 03:40:20,2024-09-17 03:40:20
71,71,Tesla Model 3,2023,vzh-7968,2024-01-28 10:49:55,2026-02-16 10:49:55
72,72,Kia Forte,2022,Dqx-3425,2023-06-05 06:50:36,2025-02-10 06:50:36
73,73,Kia Forte,2019,MPo-0504,2024-02-16 11:14:20,2024-08-02 11:14:20
74,74,Honda Accord,2018,dnp-7430,2025-03-22 04:21:05,2026-01-29 04:21:05
75,75,Tesla Model 3,2020,Nkj-6778,2022-11-12 17:13:39,2023-08-24 17:13:39
76,76,Tesla Model 3,2023,Mzn-4566,2022-04-13 12:40:30,2024-09-07 12:40:30
77,77,Hyundai Elantra,2024,PGp-9378,2024-01-08 20:26:50,2025-06-22 20:26:50
78,78,Tesla Model 3,2022,eUw-3038,2023-07-11 05:43:44,2025-05-13 05:43:44
79,79,Honda Accord,2024,xAo-9476,2022-09-17 23:37:54,2024-01-22 23:37:54
80,80,Honda Civic,2019,dCI-3385,2022-03-29 07:45:45,2023-06-14 07:45:45
81,81,Kia Forte,2023,sfH-8890,2021-12-02 00:44:31,2023-04-11 00:44:31
82,82,Tesla Model Y,2023,rlk-0616,2021-09-19 07:18:27,2023-06-06 07:18:27
